Spelling  nchar  LogFreq_Zipf  DomPoS  FreqCount  BNC_freq  Spell_check  Double_word_entry
acquitting  10  1.39  verb  4  11  UKUS  
acre  4  3.93  noun  1698  575  UKUS  
acreage  7  2.76  noun  115  110  UKUS  
acreages  8  1.17  noun  2  9  UKUS  
acres  5  4.25  noun  3571  1593  UKUS  
acrid  5  2.53  adjective  68  119  UKUS  
acrimonious  11  2.58  adjective  75  137  UKUS  
acrimoniously  13  1.47  adverb  5  8  UKUS  
acrimony  8  2.48  noun  60  78  UKUS  
acrobat  7  2.64  noun  86  34  UKUS  
acrobatic  9  2.91  adjective  161  48  UKUS  
acrobatically  13  1.77  adverb  11  7  UKUS  
acrobatics  10  2.87  noun  147  43  UKUS  
acrobats  8  2.77  noun  118  45  UKUS  
acronym  7  3.19  noun  311  85  UKUS  
acronyms  8  2.26  noun  36  43  UKUS  
acrophobia  10  1.65  noun  8  1  UKUS  
acropolis  9  2.74  name  110  105  UKUS  
across  6  5.49  preposition  62866  25203  UKUS  
acrostics  9  1.17  noun  2  3  UKUS  
acrylic  7  2.79  adjective  122  298  UKUS  
acrylics  8  2.23  noun  33  89  UKUS  
act  3  4.99  noun  19642  27467  UKUS  
acted  5  3.95  verb  1814  2293  UKUS  
actin  5  2.06  verb  22  72  UKUS  act in
acting  6  4.55  verb  7083  4851  UKUS  
actinic  7  1.17  adjective  2  10  UKUS  
actinide  8  1.3  noun  3  0  UKUS  
actinium  8  1.54  noun  6  1  UKUS  
action  6  5.09  noun  24959  22099  UKUS  
actionable  10  1.93  adjective  16  88  UKUS  
actions  7  4.26  noun  3663  4868  UKUS  
activate  8  3.41  verb  516  310  UKUS  
activated  9  3.33  verb  432  724  UKUS  
activates  9  2.46  verb  57  91  UKUS  
activating  10  2.53  verb  67  449  UKUS  
activation  10  2.66  noun  91  549  UKUS  
activations  11  1.39  noun  4  0  UKUS  
activator  9  2.19  noun  30  289  UKUS  
active  6  4.33  adjective  4316  7290  UKUS  
actively  8  3.67  adverb  946  1499  UKUS  
actives  7  1.17  noun  2  19  UKUS  
activism  8  2.83  noun  134  115  UKUS  
activist  8  3.5  noun  639  334  UKUS  
activists  9  3.87  noun  1496  960  UKUS  
activities  10  4.21  noun  3262  11598  UKUS  
activity  8  4.43  noun  5413  11508  UKUS  
actor  5  4.54  noun  6924  2039  UKUS  
actors  6  4.26  noun  3691  1612  UKUS  
actress  7  4.27  noun  3742  1115  UKUS  
actresses  9  3.42  noun  533  190  UKUS  
acts  4  4.27  noun  3779  4667  UKUS  
actual  6  4.6  adjective  7970  6851  UKUS  
actualities  11  1.3  noun  3  14  UKUS  
actuality  9  2.17  noun  29  158  UKUS  
actually  8  5.79  adverb  124408  25990  UKUS  
actuarial  9  1.47  adjective  5  211  UKUS  
actuarially  11  1.17  adverb  2  4  UKUS  
actuaries  9  1.7  noun  9  178  UKUS  
actuary  7  1.9  noun  15  116  UKUS  
actuated  8  1.47  verb  5  26  UKUS  
actuator  8  1.6  noun  7  3  UKUS  
actuators  9  1.39  noun  4  8  UKUS  
acuity  6  1.65  noun  8  61  UKUS  
acumen  6  2.65  noun  89  114  UKUS  
acupressure  11  1.47  noun  5  4  UKUS  
acupuncture  11  2.6  noun  79  182  UKUS  
acupuncturist  13  1.74  noun  10  15  UKUS  
acute  5  3.66  adjective  928  2294  UKUS  
acutely  7  3.02  adverb  211  415  UKUS  
