subject,sex,age,bigram_freq,concreteness,correct,diversity,word_freq,initial,letters,response_time,item,trans_prob
25,1,18,10,3.03,1,567,98.07,always,6,503,accept,0.000237951
31,0,25,,,1,,,binge,5,503,libes,0
19,1,19,14,4.8,1,2,189.92,canned,4,503,food,0.046511628
1,1,27,,,1,,,display,6,503,snerps,0.010244287
13,1,19,4525,2,1,1900,354.73,have,4,503,done,0.0000211
1,1,27,466,3.37,1,52,98.77,index,6,503,closed,0.003869304
20,1,19,8465,4.52,1,473,365.29,last,5,503,night,0.04587156
18,1,19,13,4.8,1,1,115.56,pelvic,5,503,floor,0.068421053
13,1,19,10,2.29,1,679,67.68,people,7,503,achieve,0.000161085
2,1,23,,,1,,,scope,5,503,blerf,0
10,1,20,,,1,,,sinner,7,503,spriege,0
5,1,20,10,3.18,1,1,64.07,slush,4,503,fund,0.12195122
13,1,19,,,1,,,statute,5,503,gwink,0
1,1,27,,,1,,,timbre,7,503,rherked,0
29,0,20,,,1,,,typhoid,7,503,hoursed,0
17,0,21,10,3.03,1,567,98.07,always,6,504,accept,0.000237951
21,1,19,,,1,,,billion,7,504,strerts,0
12,1,20,,,1,,,blast,5,504,yicks,0
1,1,27,,,1,,,buildup,6,504,dwings,0
